app_name,workload_id,spark_master,data_set_size,iterations,clusters,interruption,cur_step,start_time,end_time,duration_sec
PageRank,workload_02,yarn,.1GB,10,8,0,1,1970-01-01 00:00:00,2023-08-01 23:22:15,1690932135
PageRank,workload_02,yarn,.1GB,10,8,1,1,1970-01-01 00:00:00,2023-08-01 23:25:33,1690932333
PageRank,workload_02,yarn,.1GB,10,8,1,2,2023-08-01 23:27:33,2023-08-01 23:30:55,201
PageRank,workload_02,yarn,.1GB,10,8,2,1,2023-08-01 23:31:04,2023-08-01 23:34:17,192
PageRank,workload_02,yarn,.1GB,10,8,2,2,2023-08-01 23:36:17,2023-08-01 23:38:58,161
PageRank,workload_02,yarn,.1GB,10,8,2,3,1970-01-01 00:00:00,2023-08-01 23:42:48,1690933368
PageRank,workload_02,yarn,.1GB,10,8,3,1,1970-01-01 00:00:00,2023-08-01 23:45:26,1690933526
PageRank,workload_02,yarn,.1GB,10,8,3,2,2023-08-01 23:47:26,2023-08-01 23:49:33,126
PageRank,workload_02,yarn,.1GB,10,8,3,3,1970-01-01 00:00:00,2023-08-01 23:53:58,1690934038
PageRank,workload_02,yarn,.1GB,10,8,3,4,2023-08-01 23:55:58,2023-08-01 23:57:04,65
PageRank,workload_02,yarn,.1GB,10,8,4,1,2023-08-01 23:57:14,2023-08-01 23:59:03,108
PageRank,workload_02,yarn,.1GB,10,8,4,2,2023-08-02 00:01:03,2023-08-02 00:02:37,93
PageRank,workload_02,yarn,.1GB,10,8,4,3,2023-08-02 00:04:37,2023-08-02 00:06:14,97
PageRank,workload_02,yarn,.1GB,10,8,4,4,1970-01-01 00:00:00,2023-08-02 00:09:43,1690934983
PageRank,workload_02,yarn,.1GB,10,8,4,5,1970-01-01 00:00:00,2023-08-02 00:13:21,1690935201
PageRank,workload_02,yarn,.1GB,10,8,5,1,2023-08-02 00:13:31,2023-08-02 00:14:43,72
PageRank,workload_02,yarn,.1GB,10,8,5,2,1970-01-01 00:00:00,2023-08-02 00:17:43,1690935463
PageRank,workload_02,yarn,.1GB,10,8,5,3,1970-01-01 00:00:00,2023-08-02 00:20:46,1690935646
PageRank,workload_02,yarn,.1GB,10,8,5,4,1970-01-01 00:00:00,2023-08-02 00:23:49,1690935829
PageRank,workload_02,yarn,.1GB,10,8,5,5,2023-08-02 00:25:49,2023-08-02 00:26:55,66
PageRank,workload_02,yarn,.1GB,10,8,5,6,2023-08-02 00:28:55,2023-08-02 00:32:20,204